Season,date,site,Elevation,channel_dist,ave_ht,cover,vol_est,vol_calc,density_naive,density_final,frontal_total
Summer,7/28/2021,Bay,2.1313,0.5,0.065,0.1,6500,233.351057,267.0400062,630.4810942,1103.449997
Summer,7/28/2021,Bay,2.3217,2,0.11,0.45,49500,1777.058049,2033.612355,2837.164924,8403.196133
Summer,7/28/2021,Bay,2.2421,6,0.19,0.55,104500,3751.566993,4293.181638,3467.646018,17740.08073
Summer,7/28/2021,Bay,2.2417,12,0.15,0.75,112500,4038.768294,4621.846261,4728.608206,19098.17303
Summer,7/28/2021,Bay,2.2217,24,0.11,0.55,60500,2171.959838,2485.526211,3467.646018,10270.57305
Summer,7/28/2021,Bay,2.1789,48,0.16,0.75,120000,4308.019514,4929.969345,4728.608206,20371.38457
Summer,7/28/2021,Bay,2.1308,72,0.24,0.65,156000,5600.425368,6408.960148,4098.127112,26482.79994
Summer,7/28/2021,Bay,2.145,0.5,0.06,0.25,15000,538.5024392,616.2461681,1576.202735,2546.423071
Summer,7/28/2021,Bay,2.3126,2,0.07,0.45,31500,1130.855122,1294.116953,2837.164924,5347.488448
Summer,7/28/2021,Bay,2.2516,6,0.13,0.65,84500,3033.563741,3471.52008,4098.127112,14344.84996
Summer,7/28/2021,Bay,2.2291,12,0.18,0.7,126000,4523.420489,5176.467812,4413.367659,21389.95379
Summer,7/28/2021,Bay,2.219,24,0.26,0.85,221000,7933.935937,9079.36021,5359.089301,37517.29991
Summer,7/28/2021,Bay,2.1816,48,0.11,0.85,93500,3356.665204,3841.267781,5359.089301,15872.70381
Summer,7/28/2021,Bay,2.1409,72,0.2,0.75,150000,5385.024392,6162.461681,4728.608206,25464.23071
Summer,7/28/2021,Bay,2.1934,0.5,0.06,0.15,9000,323.1014635,369.7477008,945.7216413,1527.853842
Summer,7/28/2021,Bay,2.2569,2,0.08,0.6,48000,1723.207805,1971.987738,3782.886565,8148.553826
Summer,7/28/2021,Bay,2.2833,6,0.19,0.65,123500,4433.670083,5073.760117,4098.127112,20965.54995
Summer,7/28/2021,Bay,2.2625,12,0.25,0.9,225000,8077.536588,9243.692521,5674.329848,38196.34606
Summer,7/28/2021,Bay,2.2663,24,0.14,0.85,119000,4272.119351,4888.886267,5359.089301,20201.62303
Summer,7/28/2021,Bay,2.2228,48,0.09,0.85,76500,2746.36244,3142.855457,5359.089301,12986.75766
Summer,7/28/2021,Bay,2.2017,72,0.21,0.9,189000,6785.130734,7764.701718,5674.329848,32084.93069
Summer,7/28/2021,Creek,2.0034,0.5,0.18,0.85,153000,5492.72488,6285.710914,5359.089301,25973.51532
Summer,7/28/2021,Creek,1.9075,2,0.15,0.95,142500,5115.773172,5854.338597,5989.570395,24191.01917
Summer,7/28/2021,Creek,2.1626,6,0.16,0.95,152000,5456.824717,6244.627837,5989.570395,25803.75378
Summer,7/28/2021,Creek,2.1235,12,0.2,0.75,150000,5385.024392,6162.461681,4728.608206,25464.23071
Summer,7/28/2021,Creek,2.1225,24,0.14,0.8,112000,4020.818213,4601.304722,5043.848753,19013.29226
Summer,7/28/2021,Creek,2.111,30,0.13,0.9,117000,4200.319026,4806.720111,5674.329848,19862.09995
Summer,7/28/2021,Creek,2.0607,0.5,0.13,0.95,123500,4433.670083,5073.760117,5989.570395,20965.54995
Summer,7/28/2021,Creek,2.0677,2,0.18,0.65,117000,4200.319026,4806.720111,4098.127112,19862.09995
Summer,7/28/2021,Creek,2.133,6,0.2,0.75,150000,5385.024392,6162.461681,4728.608206,25464.23071
Summer,7/28/2021,Creek,2.129,12,0.14,0.95,133000,4774.721628,5464.049357,5989.570395,22578.28456
Summer,7/28/2021,Creek,2.117,24,0.18,0.75,135000,4846.521953,5546.215513,4728.608206,22917.80764
Summer,7/28/2021,Creek,2.1207,30,0.19,0.9,171000,6138.927807,7025.206316,5674.329848,29029.22301
Summer,7/28/2021,Creek,1.9528,0.5,0.17,0.9,153000,5492.72488,6285.710914,5674.329848,25973.51532
Summer,7/28/2021,Creek,1.8673,2,0.19,0.95,180500,6479.979352,7415.495556,5989.570395,30641.95762
Summer,7/28/2021,Creek,2.1411,6,0.16,0.75,120000,4308.019514,4929.969345,4728.608206,20371.38457
Summer,7/28/2021,Creek,2.1446,12,0.19,0.9,171000,6138.927807,7025.206316,5674.329848,29029.22301
Summer,7/28/2021,Creek,2.1347,24,0.15,0.8,120000,4308.019514,4929.969345,5043.848753,20371.38457
Summer,7/28/2021,Creek,2.1383,30,0.18,0.85,153000,5492.72488,6285.710914,5359.089301,25973.51532
Summer,7/28/2021,Interior,2.173,0.5,0.22,0.9,198000,7108.232197,8134.449419,5674.329848,33612.78453
Summer,7/28/2021,Interior,2.2297,2,0.13,0.85,110500,3966.967969,4539.680105,5359.089301,18758.64995
Summer,7/28/2021,Interior,2.2247,6,0.14,0.7,98000,3518.215936,4026.141631,4413.367659,16636.63073
Summer,7/28/2021,Interior,2.1729,12,0.18,0.8,144000,5169.623416,5915.963214,5043.848753,24445.66148
Summer,7/28/2021,Interior,2.14,24,0.2,0.9,180000,6462.02927,7394.954017,5674.329848,30557.07685
Summer,7/28/2021,Interior,2.1349,30,0.15,0.85,127500,4577.270733,5238.092429,5359.089301,21644.5961
Summer,7/28/2021,Interior,1.946,0.5,0.11,0.8,88000,3159.21431,3615.310853,5043.848753,14939.01535
Summer,7/28/2021,Interior,2.2076,2,0.07,0.95,66500,2387.360814,2732.024678,5989.570395,11289.14228
Summer,7/28/2021,Interior,2.1555,6,0.12,0.6,72000,2584.811708,2957.981607,3782.886565,12222.83074
Summer,7/28/2021,Interior,2.1369,12,0.14,0.65,91000,3266.914798,3738.560086,4098.127112,15448.29996
Summer,7/28/2021,Interior,2.1125,24,0.19,0.75,142500,5115.773172,5854.338597,4728.608206,24191.01917
Summer,7/28/2021,Interior,2.0916,30,0.23,0.85,195500,7018.481791,8031.741724,5359.089301,33188.38069
Summer,7/28/2021,Interior,2.1764,0.5,0.1,0.9,90000,3231.014635,3697.477008,5674.329848,15278.53842
Summer,7/28/2021,Interior,2.1294,2,0.07,0.7,49000,1759.107968,2013.070816,4413.367659,8318.315364
Summer,7/28/2021,Interior,2.131,6,0.23,0.85,195500,7018.481791,8031.741724,5359.089301,33188.38069
Summer,7/28/2021,Interior,2.104,12,0.21,0.95,199500,7162.082441,8196.074035,5989.570395,33867.42684
Summer,7/28/2021,Interior,2.0919,24,0.22,0.9,198000,7108.232197,8134.449419,5674.329848,33612.78453
Summer,7/28/2021,Interior,2.0867,30,0.26,0.9,234000,8400.638051,9613.440222,5674.329848,39724.1999
Winter,1/25/2022,Bay,2.1313,0.5,0.1,0.05,5000,179.5008131,205.4153894,315.2405471,848.8076902
Winter,1/25/2022,Bay,2.3217,2,0.18,0.55,99000,3554.116099,4067.224709,3467.646018,16806.39227
Winter,1/25/2022,Bay,2.2421,6,0.18,0.55,99000,3554.116099,4067.224709,3467.646018,16806.39227
Winter,1/25/2022,Bay,2.2417,12,0.16,0.95,152000,5456.824717,6244.627837,5989.570395,25803.75378
Winter,1/25/2022,Bay,2.2217,24,0.13,0.8,104000,3733.616912,4272.640099,5043.848753,17655.19996
Winter,1/25/2022,Bay,2.1789,48,0.16,0.95,152000,5456.824717,6244.627837,5989.570395,25803.75378
Winter,1/25/2022,Bay,2.1308,72,0.13,0.7,91000,3266.914798,3738.560086,4413.367659,15448.29996
