,Season,date,site,plot_ID,Elevation,channel_dist,ave_ht,cover,vol_est,vol_calc,density_naive,density_final,frontal_total,frontal_5,frontal_10,frontal_15,frontal_20,frontal_25,frontal_30,wc_height
0,Summer,7/28/2021,Bay,A0.5,2.1313,0.5,6.5,0.1,6500,233.351056983764,267.040006167696,630.481094184055,1103.44999729538,848.807690227219,254.642307068166,0.0,0.0,0.0,0.0,0.6759
1,Summer,7/28/2021,Bay,A2,2.3217,2.0,11.0,0.45,49500,1777.0580493379,2033.61235466169,2837.16492382825,8403.19613324947,3819.63460602249,3819.63460602249,763.926921204497,0.0,0.0,0.0,0.48550000000000004
2,Summer,7/28/2021,Bay,A6,2.2421,6.0,19.0,0.55,104500,3751.56699304668,4293.18163761912,3467.6460180123,17740.0807257489,4668.44229624971,4668.44229624971,4668.44229624971,3734.75383699976,0.0,0.0,0.5650999999999997
3,Summer,7/28/2021,Bay,A12,2.2417,12.0,15.0,0.75,112500,4038.76829394977,4621.84626059474,4728.60820638041,19098.1730301124,6366.05767670414,6366.05767670414,6366.05767670414,0.0,0.0,0.0,0.5655000000000001
4,Summer,7/28/2021,Bay,A24,2.2217,24.0,11.0,0.55,60500,2171.95983807965,2485.52621125317,3467.6460180123,10270.5730517494,4668.44229624971,4668.44229624971,933.688459249941,0.0,0.0,0.0,0.5855000000000001
5,Summer,7/28/2021,Bay,A48,2.1789,48.0,16.0,0.75,120000,4308.01951354642,4929.96934463439,4728.60820638041,20371.3845654533,6366.05767670414,6366.05767670414,6366.05767670414,1273.21153534083,0.0,0.0,0.6282999999999999
6,Summer,7/28/2021,Bay,A72,2.1308,72.0,24.0,0.65,156000,5600.42536761035,6408.96014802471,4098.12711219636,26482.7999350892,5517.24998647693,5517.24998647693,5517.24998647693,5517.24998647693,4413.79998918154,0.0,0.6764000000000001
7,Summer,7/28/2021,Bay,B0.5,2.145,0.5,6.0,0.25,15000,538.502439193303,616.246168079299,1576.20273546014,2546.42307068166,2122.01922556805,424.403845113609,0.0,0.0,0.0,0.0,0.6621999999999999
8,Summer,7/28/2021,Bay,B2,2.3126,2.0,7.0,0.45,31500,1130.85512230594,1294.11695296653,2837.16492382825,5347.48844843148,3819.63460602249,1527.85384240899,0.0,0.0,0.0,0.0,0.4945999999999997
9,Summer,7/28/2021,Bay,B6,2.2516,6.0,13.0,0.65,84500,3033.56374078894,3471.52008018005,4098.12711219636,14344.84996484,5517.24998647693,5517.24998647693,3310.34999188615,0.0,0.0,0.0,0.5556000000000001
10,Summer,7/28/2021,Bay,B12,2.2291,12.0,18.0,0.7,126000,4523.42048922374,5176.46781186611,4413.36765928838,21389.9537937259,5941.65383159053,5941.65383159053,5941.65383159053,3564.99229895432,0.0,0.0,0.5781000000000001
11,Summer,7/28/2021,Bay,B24,2.219,24.0,26.0,0.85,221000,7933.93593744799,9079.36020970167,5359.08930056447,37517.2999080431,7214.86536693136,7214.86536693136,7214.86536693136,7214.86536693136,7214.86536693136,1442.97307338627,0.5882000000000001
